fecha_sintomas,sexo,total,total_prom_mov7,total_acumulado
2020-05-27,MUJER,1687,1752,55368
2020-05-28,HOMBRE,2337,2216,74990
2020-05-28,MUJER,1858,1810,57226
2020-05-29,HOMBRE,2255,2219,77245
2020-05-29,MUJER,1961,1834,59187
2020-05-30,HOMBRE,2164,2235,79409
2020-05-30,MUJER,1902,1869,61089
2020-05-31,HOMBRE,2068,2257,81477
2020-05-31,MUJER,1710,1889,62799
2020-06-01,HOMBRE,3686,2378,85163
2020-06-01,MUJER,3224,2006,66023
2020-06-02,HOMBRE,2399,2414,87562
2020-06-02,MUJER,1939,2040,67962
2020-06-03,HOMBRE,2269,2454,89831
2020-06-03,MUJER,2019,2087,69981
2020-06-04,HOMBRE,2367,2458,92198
2020-06-04,MUJER,2041,2113,72022
2020-06-05,HOMBRE,2865,2545,95063
2020-06-05,MUJER,2606,2205,74628
2020-06-06,HOMBRE,2658,2616,97721
2020-06-06,MUJER,2438,2282,77066
2020-06-07,HOMBRE,2301,2649,100022
2020-06-07,MUJER,2014,2325,79080
2020-06-08,HOMBRE,3172,2575,103194
2020-06-08,MUJER,2621,2239,81701
2020-06-09,HOMBRE,2561,2599,105755
2020-06-09,MUJER,2132,2267,83833
2020-06-10,HOMBRE,3409,2761,109164
2020-06-10,MUJER,2923,2396,86756
2020-06-11,HOMBRE,2423,2769,111587
2020-06-11,MUJER,2173,2415,88929
2020-06-12,HOMBRE,2891,2773,114478
2020-06-12,MUJER,2502,2400,91431
2020-06-13,HOMBRE,2495,2750,116973
2020-06-13,MUJER,2269,2376,93700
2020-06-14,HOMBRE,2421,2767,119394
2020-06-14,MUJER,2219,2405,95919
2020-06-15,HOMBRE,3845,2863,123239
2020-06-15,MUJER,3296,2502,99215
2020-06-16,HOMBRE,2821,2900,126060
2020-06-16,MUJER,2553,2562,101768
2020-06-17,HOMBRE,2423,2759,128483
2020-06-17,MUJER,2204,2459,103972
2020-06-18,HOMBRE,2938,2833,131421
2020-06-18,MUJER,2713,2536,106685
2020-06-19,HOMBRE,3047,2855,134468
2020-06-19,MUJER,2696,2564,109381
2020-06-20,HOMBRE,3985,3068,138453
2020-06-20,MUJER,3538,2745,112919
2020-06-21,HOMBRE,2566,3089,141019
2020-06-21,MUJER,2202,2743,115121
2020-06-22,HOMBRE,3213,2999,144232
2020-06-22,MUJER,2882,2684,118003
2020-06-23,HOMBRE,2801,2996,147033
2020-06-23,MUJER,2465,2671,120468
2020-06-24,HOMBRE,2717,3038,149750
2020-06-24,MUJER,2507,2714,122975
2020-06-25,HOMBRE,3233,3080,152983
2020-06-25,MUJER,3027,2759,126002
2020-06-26,HOMBRE,3543,3151,156526
2020-06-26,MUJER,3247,2838,129249
2020-06-27,HOMBRE,2754,2975,159280
2020-06-27,MUJER,2545,2696,131794
2020-06-28,HOMBRE,3352,3087,162632
2020-06-28,MUJER,3011,2812,134805
2020-06-29,HOMBRE,3413,3116,166045
2020-06-29,MUJER,3317,2874,138122
2020-06-30,HOMBRE,3515,3218,169560
2020-06-30,MUJER,3206,2980,141328
2020-07-01,HOMBRE,4503,3473,174063
2020-07-01,MUJER,4157,3215,145485
2020-07-02,HOMBRE,3244,3474,177307
2020-07-02,MUJER,3098,3225,148583
2020-07-03,HOMBRE,3505,3469,180812
2020-07-03,MUJER,3268,3228,151851
2020-07-04,HOMBRE,3066,3514,183878
2020-07-04,MUJER,2830,3269,154681
2020-07-05,HOMBRE,3342,3512,187220
2020-07-05,MUJER,3167,3291,157848
2020-07-06,HOMBRE,3702,3553,190922
2020-07-06,MUJER,3504,3318,161352
2020-07-07,HOMBRE,3514,3553,194436
2020-07-07,MUJER,3075,3299,164427
2020-07-08,HOMBRE,3036,3344,197472
2020-07-08,MUJER,2982,3132,167409
2020-07-09,HOMBRE,3142,3329,200614
2020-07-09,MUJER,3029,3122,170438
2020-07-10,HOMBRE,4932,3533,205546
2020-07-10,MUJER,4585,3310,175023
2020-07-11,HOMBRE,3106,3539,208652
2020-07-11,MUJER,2968,3330,177991
2020-07-12,HOMBRE,3258,3527,211910
2020-07-12,MUJER,3100,3320,181091
2020-07-13,HOMBRE,3896,3554,215806
2020-07-13,MUJER,3808,3363,184899
2020-07-14,HOMBRE,3305,3525,219111
2020-07-14,MUJER,3149,3374,188048
2020-07-15,HOMBRE,4134,3681,223245
2020-07-15,MUJER,3978,3516,192026
2020-07-16,HOMBRE,3367,3714,226612
2020-07-16,MUJER,3122,3530,195148
2020-07-17,HOMBRE,3679,3535,230291
2020-07-17,MUJER,3552,3382,198700
2020-07-18,HOMBRE,3737,3625,234028
2020-07-18,MUJER,3484,3456,202184
2020-07-19,HOMBRE,3343,3637,237371
2020-07-19,MUJER,3131,3460,205315
2020-07-20,HOMBRE,5003,3795,242374
2020-07-20,MUJER,4884,3614,210199
2020-07-21,HOMBRE,3047,3758,245421
2020-07-21,MUJER,3000,3593,213199
2020-07-22,HOMBRE,3047,3603,248468
2020-07-22,MUJER,2898,3438,216097
2020-07-23,HOMBRE,2987,3549,251455
2020-07-23,MUJER,2904,3407,219001
2020-07-24,HOMBRE,3266,3490,254721
2020-07-24,MUJER,3126,3346,222127
2020-07-25,HOMBRE,3764,3493,258485
2020-07-25,MUJER,3713,3379,225840
2020-07-26,HOMBRE,2829,3420,261314
2020-07-26,MUJER,2868,3341,228708
2020-07-27,HOMBRE,3729,3238,265043
2020-07-27,MUJER,3620,3161,232328
2020-07-28,HOMBRE,3034,3236,268077
2020-07-28,MUJER,2978,3158,235306
2020-07-29,HOMBRE,2576,3169,270653
2020-07-29,MUJER,2607,3116,237913
2020-07-30,HOMBRE,2681,3125,273334
2020-07-30,MUJER,2637,3078,240550
2020-07-31,HOMBRE,2820,3061,276154
2020-07-31,MUJER,2777,3028,243327
2020-08-01,HOMBRE,4074,3106,280228
2020-08-01,MUJER,4220,3101,247547
2020-08-02,HOMBRE,2588,3071,282816
2020-08-02,MUJER,2688,3075,250235
2020-08-03,HOMBRE,3288,3008,286104
2020-08-03,MUJER,3055,2994,253290
2020-08-04,HOMBRE,2500,2932,288604
2020-08-04,MUJER,2425,2915,255715
2020-08-05,HOMBRE,2882,2976,291486
2020-08-05,MUJER,2788,2941,258503
2020-08-06,HOMBRE,2479,2947,293965
2020-08-06,MUJER,2424,2911,260927
2020-08-07,HOMBRE,2688,2928,296653
2020-08-07,MUJER,2708,2901,263635
2020-08-08,HOMBRE,2858,2754,299511
2020-08-08,MUJER,2748,2690,266383
2020-08-09,HOMBRE,2353,2721,301864
2020-08-09,MUJER,2308,2636,268691
2020-08-10,HOMBRE,3957,2816,305821
2020-08-10,MUJER,3916,2759,272607
2020-08-11,HOMBRE,2450,2809,308271
2020-08-11,MUJER,2454,2763,275061
2020-08-12,HOMBRE,2432,2745,310703
2020-08-12,MUJER,2485,2720,277546
2020-08-13,HOMBRE,2415,2736,313118
2020-08-13,MUJER,2392,2715,279938
2020-08-14,HOMBRE,2752,2745,315870
2020-08-14,MUJER,2751,2722,282689
2020-08-15,HOMBRE,2956,2759,318826
2020-08-15,MUJER,3022,2761,285711
2020-08-16,HOMBRE,2326,2755,321152
2020-08-16,MUJER,2350,2767,288061
2020-08-17,HOMBRE,2894,2603,324046
2020-08-17,MUJER,2917,2624,290978
2020-08-18,HOMBRE,2960,2676,327006
2020-08-18,MUJER,2840,2679,293818
2020-08-19,HOMBRE,2444,2678,329450
2020-08-19,MUJER,2335,2658,296153
2020-08-20,HOMBRE,3717,2864,333167
2020-08-20,MUJER,3812,2861,299965
2020-08-21,HOMBRE,2537,2833,335704
2020-08-21,MUJER,2693,2852,302658
2020-08-22,HOMBRE,2386,2752,338090
2020-08-22,MUJER,2538,2783,305196
2020-08-23,HOMBRE,2310,2749,340400
2020-08-23,MUJER,2280,2773,307476
2020-08-24,HOMBRE,2958,2758,343358
2020-08-24,MUJER,3041,2791,310517
2020-08-25,HOMBRE,2948,2757,346306
2020-08-25,MUJER,2924,2803,313441
2020-08-26,HOMBRE,2397,2750,348703
2020-08-26,MUJER,2520,2829,315961
2020-08-27,HOMBRE,2472,2572,351175
2020-08-27,MUJER,2504,2642,318465
2020-08-28,HOMBRE,3133,2657,354308
2020-08-28,MUJER,3128,2705,321593
2020-08-29,HOMBRE,2139,2622,356447
2020-08-29,MUJER,2326,2674,323919
2020-08-30,HOMBRE,2375,2631,358822
2020-08-30,MUJER,2553,2713,326472
2020-08-31,HOMBRE,2813,2611,361635
2020-08-31,MUJER,2906,2694,329378
2020-09-01,HOMBRE,3665,2713,365300
2020-09-01,MUJER,3558,2785,332936
2020-09-02,HOMBRE,2416,2716,367716
2020-09-02,MUJER,2476,2778,335412
2020-09-03,HOMBRE,2287,2689,370003
2020-09-03,MUJER,2417,2766,337829
2020-09-04,HOMBRE,2334,2575,372337
2020-09-04,MUJER,2471,2672,340300
2020-09-05,HOMBRE,2553,2634,374890
2020-09-05,MUJER,2633,2716,342933
2020-09-06,HOMBRE,2053,2588,376943
2020-09-06,MUJER,2134,2656,345067
2020-09-07,HOMBRE,2540,2549,379483
2020-09-07,MUJER,2647,2619,347714
2020-09-08,HOMBRE,2273,2350,381756
2020-09-08,MUJER,2354,2447,350068
2020-09-09,HOMBRE,2167,2315,383923
2020-09-09,MUJER,2179,2405,352247
2020-09-10,HOMBRE,2800,2388,386723
2020-09-10,MUJER,2725,2449,354972
2020-09-11,HOMBRE,2103,2355,388826
2020-09-11,MUJER,2171,2406,357143
2020-09-12,HOMBRE,1815,2250,390641
2020-09-12,MUJER,1842,2293,358985
2020-09-13,HOMBRE,1740,2205,392381
2020-09-13,MUJER,1719,2233,360704
2020-09-14,HOMBRE,2396,2184,394777
2020-09-14,MUJER,2398,2198,363102
2020-09-15,HOMBRE,2471,2213,397248
2020-09-15,MUJER,2592,2232,365694
2020-09-16,HOMBRE,1834,2165,399082
2020-09-16,MUJER,1824,2181,367518
2020-09-17,HOMBRE,2193,2078,401275
2020-09-17,MUJER,2269,2116,369787
2020-09-18,HOMBRE,2467,2130,403742
2020-09-18,MUJER,2576,2174,372363
2020-09-19,HOMBRE,2309,2201,406051
2020-09-19,MUJER,2449,2261,374812
